cid,email,iid,iname,strength
AMD310,AMD310@courses.iitd.ac.in,tiwariv,Vikrant Tiwari,1
AMD813,AMD813@courses.iitd.ac.in,sroy,Sitikantha Roy,1
AMD814,AMD814@courses.iitd.ac.in,sroy,Sitikantha Roy,34
AMD895,AMD895@courses.iitd.ac.in,tiwariv,Vikrant Tiwari,3
AMD897,AMD897@courses.iitd.ac.in,ismakkar,Ishaq Sayed Makkar,27
AML310,AML310@courses.iitd.ac.in,sroy,Sitikantha Roy,12
AML702,AML702@courses.iitd.ac.in,adewan,Anupam Dewan,40
AML706,AML706@courses.iitd.ac.in,dks,D K Sehgal,27
AML793,AML793@courses.iitd.ac.in,ismakkar,Ishaq Sayed Makkar,27
AML795,AML795@courses.iitd.ac.in,ismakkar,Ishaq Sayed Makkar,27
AML831,AML831@courses.iitd.ac.in,maloy,Maloy Kumar Singha,9
AML832,AML832@courses.iitd.ac.in,bppatel,Badri Prasad Patel,27
AML835,AML835@courses.iitd.ac.in,tiwariv,Vikrant Tiwari,12
AMP776,AMP776@courses.iitd.ac.in,sns,S N Singh,26
AMV803,AMV803@courses.iitd.ac.in,svrvalli,S V Veeravalli,0
APL100A,APL100A@courses.iitd.ac.in,pradyum,S Pradyumna,219
APL100B,APL100B@courses.iitd.ac.in,arjunsharma,Arjun Sharma,228
APL102,APL102@courses.iitd.ac.in,sureshn,Suresh Neelakantan,151
APL105,APL105@courses.iitd.ac.in,murali,Murali Raman Cholemari,102
APL705,APL705@courses.iitd.ac.in,hegde,Sriram Hegde,37
APL711,APL711@courses.iitd.ac.in,arghya,Arghya Samanta,20
APL715,APL715@courses.iitd.ac.in,svrvalli,S V Veeravalli,10
APL720,APL720@courses.iitd.ac.in,sawan,Sawan Suman Sinha,27
APL763,APL763@courses.iitd.ac.in,rajesh,Rajesh Prasad,13
APL767,APL767@courses.iitd.ac.in,ngosvami,Nitya Nand Gosvami,22
APL774,APL774@courses.iitd.ac.in,ssantapuri,Sushma Santapuri,12
APL796,APL796@courses.iitd.ac.in,ajeetk,Ajeet Kumar,18
APL871,APL871@courses.iitd.ac.in,suhail,Suhail Ahmed,27
ASD330,ASD330@courses.iitd.ac.in,dilipganguly,Dilip Ganguly,8
ASD881,ASD881@courses.iitd.ac.in,sagnik,Sagnik Dey,1
ASD882,ASD882@courses.iitd.ac.in,sagnik,Sagnik Dey,6
ASL410,ASL410@courses.iitd.ac.in,ssahany,Sandeep Sahany,84
ASL733,ASL733@courses.iitd.ac.in,mmanju,Manju Mohan,31
ASL734,ASL734@courses.iitd.ac.in,mathilis,Maithili Sharan,13
ASL736,ASL736@courses.iitd.ac.in,akrishna,Krishna Mirle Achutarao,36
ASL737,ASL737@courses.iitd.ac.in,adrao,A D Rao,12
ASL738,ASL738@courses.iitd.ac.in,skdash,S K Dash,12
ASL754,ASL754@courses.iitd.ac.in,dilipganguly,Dilip Ganguly,22
ASL755,ASL755@courses.iitd.ac.in,sagnik,Sagnik Dey,42
ASL757,ASL757@courses.iitd.ac.in,skm,Saroj Kanta Mishra,80
ASL760,ASL760@courses.iitd.ac.in,drsbr,Somnath Baidya Roy,23
ASL763,ASL763@courses.iitd.ac.in,vimlesh,Vimlesh Pant,27
ASP820,ASP820@courses.iitd.ac.in,opsharma,O P Sharma,12
ASV866,ASV866@courses.iitd.ac.in,ssahany,Sandeep Sahany,23
BBL341,BBL341@courses.iitd.ac.in,zia,Shaikh Ziauddin Ahammad,22
BBL343,BBL343@courses.iitd.ac.in,anarang,Atul Narang,17
BBL431,BBL431@courses.iitd.ac.in,vbisaria,V S Bisaria,65
BBL432,BBL432@courses.iitd.ac.in,sunath,Sunil Nath,46
BBL433,BBL433@courses.iitd.ac.in,elangovan,Ravi Krishnan Elangovan,48
BBL434,BBL434@courses.iitd.ac.in,sundar,D Sundar,46
BBL443,BBL443@courses.iitd.ac.in,ashishmisra,Ashish Misra,21
BBL445,BBL445@courses.iitd.ac.in,gopal,G P Agarwal,39
BBL736,BBL736@courses.iitd.ac.in,anarang,Atul Narang,49
BBL740,BBL740@courses.iitd.ac.in,ashokks,A K Srivastava,12
BBL742,BBL742@courses.iitd.ac.in,sree,T R Sreekrishnan,50
BBL745,BBL745@courses.iitd.ac.in,preeti,Preeti Srivastava,41
BBL746,BBL746@courses.iitd.ac.in,sarojm,Saroj Mishra,25
BBL747,BBL747@courses.iitd.ac.in,pmishra,Prashant Mishra,46
BBL749,BBL749@courses.iitd.ac.in,ritu,Ritu Kulshrestha,21
BBQ301,BBQ301@courses.iitd.ac.in,pkrc,P K Roychoudhury,58
BBQ302,BBQ302@courses.iitd.ac.in,pmishra,Prashant Mishra,36
BBQ303,BBQ303@courses.iitd.ac.in,ashishmisra,Ashish Misra,16
BEC750,BEC750@courses.iitd.ac.in,shilpi,Shilpi Sharma,33
BED800,BED800@courses.iitd.ac.in,ritu,Ritu Kulshrestha,14
BED851,BED851@courses.iitd.ac.in,shilpi,Shilpi Sharma,0
BED852,BED852@courses.iitd.ac.in,shilpi,Shilpi Sharma,12
BED853,BED853@courses.iitd.ac.in,shilpi,Shilpi Sharma,4
BED854,BED854@courses.iitd.ac.in,shilpi,Shilpi Sharma,23
BMD742,BMD742@courses.iitd.ac.in,amehndiratta,Amit Mehndiratta,2
BML710,BML710@courses.iitd.ac.in,veenak,Veena Koul,13
BML735,BML735@courses.iitd.ac.in,anupsm,Anup Singh,16
BML741,BML741@courses.iitd.ac.in,dineshk,Dinesh Kalyanasundaram,37
BML750,BML750@courses.iitd.ac.in,sandeepjha,Sandeep Kumar Jha,13
BML790,BML790@courses.iitd.ac.in,amehndiratta,Amit Mehndiratta,7
BML800,BML800@courses.iitd.ac.in,sneha,Sneh Anand,50
BML820,BML820@courses.iitd.ac.in,harpal,Harpal Singh,15
BMV700,BMV700@courses.iitd.ac.in,dineshk,Dinesh Kalyanasundaram,35
BMV704,BMV704@courses.iitd.ac.in,joshid,Deepak Joshi,25
BSD895,BSD895@courses.iitd.ac.in,shankar.prakriya,Shankar Prakriya,3
CED812,CED812@courses.iitd.ac.in,shahu,Jagdish Telangrao Shahu,1
CED822,CED822@courses.iitd.ac.in,abhijit.ganguli,Abhijit Ganguli,6
CED852,CED852@courses.iitd.ac.in,tanusree,Tanusree Chakraborty,1
CEL724,CEL724@courses.iitd.ac.in,matsagar,Vasant A Matsagar,3
CEL761,CEL761@courses.iitd.ac.in,raoks,K S Rao,1
CHC410,CHC410@courses.iitd.ac.in,rajkh,Rajesh Khanna,1
CHD411,CHD411@courses.iitd.ac.in,jphirani,Jyoti Phirani,11
CHD412,CHD412@courses.iitd.ac.in,jphirani,Jyoti Phirani,0
